,receipt_id,company_id,matched_transaction_id,feature_transaction_id,scores
10842,"50,038",50000,"50,300","50,300",0.7300535
10908,"50,052",50000,"50,279","50,279",0.7300535
2338,"10,216",10000,"10,623","10,623",0.7300535
887,"10,088",10000,"10,639","10,639",0.7300535
8920,"30,332",30000,"31,415","31,415",0.7300535
1029,"10,100",10000,"10,651","10,651",0.7300535
4524,"20,202",20000,"20,515","20,515",0.7300535
3219,"20,078",20000,"20,393","20,393",0.7300535
3694,"20,126",20000,"20,442","20,442",0.7300535
11319,"50,120",50000,"50,044","50,044",0.7300535
11302,"50,118",50000,"50,045","50,045",0.7300535
3584,"20,114",20000,"20,086","20,086",0.7300535
4054,"20,160",20000,"20,458","20,458",0.7300535
11283,"50,115",50000,"50,290","50,290",0.7300535
3766,"20,135",20000,"20,560","20,560",0.7300535
4218,"20,176",20000,"20,503","20,503",0.7300535
10816,"50,034",50000,"50,302","50,302",0.7300535
1745,"10,159",10000,"10,668","10,668",0.7300535
3718,"20,129",20000,"20,557","20,557",0.7300535
262,"10,020",10000,"10,683","10,683",0.7300535
11175,"50,093",50000,"50,304","50,304",0.7300535
3023,"20,058",20000,"20,484","20,484",0.7207643
10605,"40,275",40000,"40,584","40,584",0.6936256
10900,"50,049",50000,"50,367","50,367",0.6936256
2224,"10,205",10000,"10,610","10,610",0.6936256
9760,"40,020",40000,"40,233","40,233",0.6936256
11993,"50,223",50000,"50,342","50,342",0.6936256
10445,"40,223",40000,"40,585","40,585",0.6936256
9831,"40,042",40000,"40,467","40,467",0.6936256
9779,"40,026",40000,"40,133","40,133",0.6936256
11271,"50,110",50000,"50,269","50,269",0.6936256
7335,"30,205",30000,"31,275","31,275",0.6936256
9804,"40,039",40000,"40,253","40,253",0.6936256
640,"10,061",10000,"10,597","10,597",0.6936256
10751,"50,026",50000,"50,349","50,349",0.6936256
10813,"50,033",50000,"50,379","50,379",0.6936256
10210,"40,155",40000,"40,168","40,168",0.6936256
696,"10,071",10000,"10,664","10,664",0.6936256
10860,"50,041",50000,"50,271","50,271",0.6936256
11572,"50,156",50000,"50,358","50,358",0.6936256
356,"10,029",10000,"10,574","10,574",0.6936256
11542,"50,150",50000,"50,324","50,323",0.6936256
10779,"50,029",50000,"50,309","50,309",0.6936256
10351,"40,198",40000,"40,475","40,475",0.6936256
11468,"50,139",50000,"50,266","50,266",0.6936256
10697,"50,012",50000,"50,289","50,289",0.6936256
1952,"10,176",10000,"10,606","10,606",0.6936256
210,"10,015",10000,"10,713","10,713",0.6936256
7981,"30,259",30000,"31,257","31,257",0.68457353
4145,"20,169",20000,"20,079","20,079",0.68457353
11015,"50,066",50000,"50,272","50,272",0.68457353
2538,"20,019",20000,"20,527","20,527",0.68457353
11301,"50,118",50000,"50,045","50,044",0.68447965
11024,"50,068",50000,"50,308","50,308",0.68447965
11973,"50,220",50000,"50,363","50,363",0.68447965
11320,"50,120",50000,"50,044","50,045",0.68447965
9426,"30,375",30000,"31,369","31,369",0.67938906
5707,"30,080",30000,"31,259","31,259",0.67938906
4888,"30,016",30000,"31,270","31,270",0.67938906
5188,"30,040",30000,"31,273","31,273",0.67938906
736,"10,076",10000,"10,671","10,671",0.67441726
1071,"10,104",10000,"10,588","10,588",0.67441726
8981,"30,337",30000,"31,325","31,325",0.6743218
277,"10,022",10000,"10,404","10,403",0.6743218
3578,"20,113",20000,"20,509","20,509",0.6743218
490,"10,043",10000,"10,622","10,622",0.6658078
2223,"10,204",10000,"10,666","10,666",0.6644268
3133,"20,067",20000,"20,368","20,368",0.65624285
3132,"20,067",20000,"20,368","20,367",0.65624285
4590,"20,208",20000,"20,367","20,367",0.65624285
4591,"20,208",20000,"20,367","20,368",0.65624285
2396,"20,005",20000,"20,345","20,345",0.65624285
2769,"20,038",20000,"20,234","20,234",0.65624285
3351,"20,091",20000,"20,194","20,194",0.65624285
10373,"40,205",40000,"40,301","40,301",0.65624285
11076,"50,078",50000,"50,243","50,243",0.65624285
11883,"50,204",50000,"50,143","50,143",0.65624285
2456,"20,009",20000,"20,242","20,242",0.65624285
4687,"20,216",20000,"20,276","20,276",0.65624285
11669,"50,175",50000,"50,204","50,204",0.65624285
3703,"20,127",20000,"20,125","20,125",0.65624285
3390,"20,096",20000,"20,179","20,179",0.65624285
4020,"20,157",20000,"20,209","20,209",0.65624285
3391,"20,096",20000,"20,179","20,180",0.65624285
6950,"30,176",30000,"30,542","30,542",0.65624285
1833,"10,166",10000,"10,329","10,330",0.65624285
11058,"50,072",50000,"50,160","50,160",0.65624285
1832,"10,166",10000,"10,329","10,329",0.65624285
2678,"20,030",20000,"20,336","20,336",0.65624285
11701,"50,179",50000,"50,262","50,262",0.65624285
10885,"50,046",50000,"50,133","50,133",0.65624285
2531,"20,018",20000,"20,191","20,191",0.65624285
11893,"50,208",50000,"50,236","50,236",0.65624285
3434,"20,099",20000,"20,223","20,223",0.65624285
2577,"20,023",20000,"20,257","20,257",0.65624285
2624,"20,026",20000,"20,245","20,245",0.65624285
2395,"20,005",20000,"20,345","20,344",0.65624285
1381,"10,129",10000,"10,310","10,312",0.65624285
4183,"20,173",20000,"20,180","20,179",0.65624285
3216,"20,077",20000,"20,097","20,099",0.65624285
3107,"20,065",20000,"20,099","20,099",0.65624285
11726,"50,181",50000,"50,239","50,239",0.65624285
3105,"20,065",20000,"20,099","20,097",0.65624285
10506,"40,250",40000,"40,317","40,317",0.65624285
3176,"20,073",20000,"20,341","20,341",0.65624285
5688,"30,078",30000,"30,608","30,608",0.65624285
2091,"10,190",10000,"10,442","10,442",0.65624285
3026,"20,059",20000,"20,352","20,352",0.65624285
11279,"50,114",50000,"50,082","50,082",0.65624285
3616,"20,117",20000,"20,272","20,272",0.65624285
4184,"20,173",20000,"20,180","20,180",0.65624285
3214,"20,077",20000,"20,097","20,097",0.65624285
2995,"20,056",20000,"20,230","20,233",0.65624285
4255,"20,180",20000,"20,360","20,360",0.65624285
2992,"20,056",20000,"20,230","20,230",0.65624285
11133,"50,088",50000,"50,252","50,252",0.65624285
3273,"20,082",20000,"20,237","20,237",0.65624285
11810,"50,192",50000,"50,067","50,067",0.65624285
2382,"20,003",20000,"20,201","20,201",0.65624285
11657,"50,172",50000,"50,129","50,129",0.65624285
1379,"10,129",10000,"10,310","10,310",0.65624285
4191,"20,174",20000,"20,344","20,345",0.65624285
1380,"10,129",10000,"10,310","10,311",0.65624285
4190,"20,174",20000,"20,344","20,344",0.65624285
10258,"40,178",40000,"40,398","40,398",0.65624285
4482,"20,198",20000,"20,524","20,524",0.65494114
1616,"10,148",10000,"10,317","10,317",0.6456466
1615,"10,148",10000,"10,317","10,316",0.6456466
3164,"20,071",20000,"20,305","20,305",0.6456466
1812,"10,165",10000,"10,331","10,331",0.6456466
1813,"10,165",10000,"10,331","10,332",0.6456466
8120,"30,268",30000,"30,966","30,966",0.6456466
5530,"30,067",30000,"30,533","30,533",0.6456466
2049,"10,186",10000,"10,319","10,319",0.6456466
2085,"10,189",10000,"10,316","10,315",0.6456466
2086,"10,189",10000,"10,316","10,316",0.6456466
2087,"10,189",10000,"10,316","10,317",0.6456466
278,"10,022",10000,"10,404","10,404",0.6456466
281,"10,023",10000,"10,255","10,255",0.6456466
282,"10,023",10000,"10,255","10,256",0.6456466
283,"10,023",10000,"10,255","10,257",0.6456466
2484,"20,012",20000,"20,231","20,230",0.6456466
2487,"20,012",20000,"20,231","20,233",0.6456466
10216,"40,165",40000,"40,023","40,023",0.6456466
1614,"10,148",10000,"10,317","10,315",0.6456466
10871,"50,043",50000,"50,185","50,185",0.6456466
694,"10,070",10000,"10,312","10,312",0.6456466
1308,"10,124",10000,"10,311","10,311",0.6456466
1309,"10,124",10000,"10,311","10,312",0.6456466
692,"10,070",10000,"10,312","10,310",0.6456466
693,"10,070",10000,"10,312","10,311",0.6456466
1307,"10,124",10000,"10,311","10,310",0.6456466
11260,"50,108",50000,"50,180","50,180",0.6456466
11501,"50,145",50000,"50,220","50,220",0.6456466
8087,"30,266",30000,"30,613","30,613",0.6451121
7743,"30,240",30000,"31,370","31,370",0.6451121
9464,"30,378",30000,"31,458","31,458",0.6451121
7153,"30,190",30000,"31,357","31,357",0.6451121
7173,"30,193",30000,"31,182","31,182",0.6451121
6521,"30,143",30000,"31,195","31,195",0.6451121
9703,"40,014",40000,"40,226","40,226",0.64499277
11134,"50,089",50000,"50,407","50,407",0.64499277
6838,"30,167",30000,"31,086","31,086",0.64499277
2104,"10,194",10000,"10,717","10,717",0.64499277
11150,"50,091",50000,"50,282","50,282",0.64499277
5059,"30,030",30000,"31,360","31,360",0.64499277
5779,"30,085",30000,"31,274","31,274",0.64499277
232,"10,017",10000,"10,504","10,504",0.64499277
9017,"30,342",30000,"31,498","31,498",0.64499277
8429,"30,291",30000,"31,108","31,108",0.64499277
10037,"40,097",40000,"40,140","40,140",0.64499277
10442,"40,222",40000,"40,135","40,135",0.64499277
7654,"30,233",30000,"31,291","31,291",0.64499277
10706,"50,016",50000,"50,288","50,288",0.64499277
10694,"50,011",50000,"50,359","50,359",0.64499277
11662,"50,173",50000,"50,362","50,362",0.64499277
11444,"50,132",50000,"50,376","50,376",0.64499277
2989,"20,055",20000,"20,408","20,408",0.64499277
8456,"30,293",30000,"31,079","31,079",0.64499277
10548,"40,261",40000,"40,587","40,587",0.64499277
11654,"50,171",50000,"50,293","50,293",0.64499277
6323,"30,129",30000,"31,074","31,074",0.64499277
8822,"30,322",30000,"31,245","31,245",0.64499277
11406,"50,126",50000,"50,340","50,340",0.64499277
9932,"40,060",40000,"40,209","40,209",0.64499277
9933,"40,060",40000,"40,209","40,210",0.64499277
4478,"20,197",20000,"20,460","20,460",0.64499277
4425,"20,193",20000,"20,526","20,526",0.64499277
5726,"30,081",30000,"31,460","31,460",0.64499277
9861,"40,049",40000,"40,172","40,172",0.64499277
10512,"40,252",40000,"40,122","40,122",0.64499277
2234,"10,208",10000,"10,505","10,505",0.64499277
2232,"10,206",10000,"10,638","10,638",0.64499277
263,"10,020",10000,"10,683","10,684",0.64499277
2231,"10,206",10000,"10,638","10,637",0.64499277
11239,"50,106",50000,"50,361","50,361",0.64499277
2940,"20,051",20000,"20,500","20,500",0.64499277
2914,"20,049",20000,"20,471","20,471",0.64499277
5635,"30,075",30000,"31,390","31,390",0.64499277
2905,"20,047",20000,"20,472","20,472",0.64499277
6464,"30,139",30000,"31,121","31,121",0.64499277
10448,"40,224",40000,"40,194","40,194",0.64499277
10538,"40,256",40000,"40,114","40,114",0.64499277
833,"10,083",10000,"10,545","10,545",0.64499277
4387,"20,190",20000,"20,454","20,454",0.64499277
10724,"50,020",50000,"50,040","50,040",0.64499277
685,"10,067",10000,"10,500","10,500",0.64499277
10853,"50,040",50000,"50,318","50,318",0.64499277
9344,"30,369",30000,"31,269","31,269",0.64499277
3892,"20,148",20000,"20,430","20,430",0.64499277
11938,"50,216",50000,"50,341","50,341",0.64499277
10831,"50,036",50000,"50,339","50,339",0.64499277
10176,"40,139",40000,"40,252","40,252",0.64499277
1751,"10,160",10000,"10,587","10,587",0.64499277
3881,"20,147",20000,"20,464","20,464",0.64499277
499,"10,044",10000,"10,592","10,592",0.64499277
789,"10,080",10000,"10,712","10,712",0.64499277
8578,"30,303",30000,"31,462","31,462",0.64499277
5964,"30,101",30000,"31,484","31,484",0.64499277
10199,"40,152",40000,"40,498","40,498",0.64499277
8696,"30,311",30000,"31,359","31,359",0.64499277
538,"10,049",10000,"10,633","10,633",0.64499277
5324,"30,051",30000,"31,035","31,035",0.64499277
9487,"30,380",30000,"31,396","31,396",0.64499277
4789,"30,006",30000,"31,446","31,446",0.64499277
3782,"20,138",20000,"20,571","20,571",0.64499277
4797,"30,007",30000,"31,056","31,056",0.64499277
2650,"20,028",20000,"20,542","20,542",0.64499277
521,"10,046",10000,"10,686","10,686",0.64499277
3713,"20,128",20000,"20,448","20,448",0.64499277
10262,"40,184",40000,"40,173","40,173",0.64499277
3462,"20,101",20000,"20,487","20,487",0.64499277
997,"10,098",10000,"10,621","10,621",0.64499277
11062,"50,074",50000,"50,284","50,284",0.64499277
3951,"20,153",20000,"20,070","20,070",0.64499277
8325,"30,284",30000,"31,199","31,199",0.64499277
9296,"30,364",30000,"31,263","31,263",0.64499277
4027,"20,158",20000,"20,530","20,530",0.64499277
10397,"40,213",40000,"40,167","40,167",0.64499277
1859,"10,168",10000,"10,637","10,637",0.64499277
1860,"10,168",10000,"10,637","10,638",0.64499277
2722,"20,033",20000,"20,514","20,514",0.64499277
3928,"20,151",20000,"20,506","20,506",0.64499277
10356,"40,201",40000,"40,210","40,210",0.64499277
11079,"50,079",50000,"50,408","50,408",0.64499277
10260,"40,180",40000,"40,192","40,192",0.64489317
